;Bier;Soort;Alcohol;Brouwerij
785;Grisette Cérise;fruitbier;3,5%;Brouwerij St-Feuillien
786;Grisette Country Cool;;3,5%;Brouwerij St-Feuillien
787;Grisette Fruits des Bois;fruitbier;3,5%;Brouwerij St-Feuillien
788;Groenen tuinbier;;8,5%;Brouwerij Van Steenberghe
789;Grotten Flemish Ale;hogegisting,belgianstrongale;7,7%;Brouwerij St-Bernardus
790;Grottenbier;hogegisting;6,5%;Brouwerij St-Bernardus
791;Gruut Amber;amber;6,6%;Stadsbrouwerij Gruut
792;Gruut Blond;blond;5,5%;Stadsbrouwerij Gruut
793;Gruut Bruin;bruin;8%;Stadsbrouwerij Gruut
794;Gruut Inferno;goud;9%;Stadsbrouwerij Gruut
795;Gruut Wit;witbier;5%;Stadsbrouwerij Gruut
796;Guido;hogegisting;8%;Brouwerij De Regenboog
797;Gulden Delle;mengbier;8,5%;Brouwerij De Vlier
798;Gulden Draak;hogegisting,donker;10,5%;Brouwerij Van Steenberge
799;Gulden Draak Vintage;hogegisting,kerst;17,5%;Brouwerij Van Steenberge
800;Gulden Draak 9000 Quadruple;hogegisting,donker;10,5%;Brouwerij Van Steenberge
801;Guldenberg;donkerblondabdijbier;8,5%;Brouwerij De Ranke
802;Gypsy Rose;amber;9%;Brasserie Sainte-Hélène
803;Haanse Witte;witbier;5,5%;Brouwerij Strubbe
804;Halleschelle;blond;8,5%;Brouwerij Alvinne
805;Halleschelle;blond;8,2%;Brouwerij De Leite
806;Hanssens Lambic Experimental Cassis;lambiek,fruitbier;4%;Brouwerij Hanssens
807;Hanssens Lambic Experimental Raspberry;lambiek,fruitbier;4%;Brouwerij Hanssens
808;Hapkin;hogegisting,blond;8,5%;Alken-Maes
809;Harelbekenaar van de abdijhoeve;roodbruin,etiketbier;6%;Brouwerij Van Eecke
810;Hector;hogegisting,tripel;8,2%;Brouwerij De Graal
811;Heer van Biesen;blond,brett-bier;6,2%;De Proefbrouwerij
812;Heksemiebier;hogegisting;6,2%;Microbrouwerij Achilles
813;Hellekapelle;blond;5%;Brouwerij De Bie
814;Helleketelbier;amber;7%;Brouwerij De Bie
815;Hengstenbier;roodbruin,hogegisting;5%;Brouwerij Strubbe
816;Hercule Stout;stout;9%;Brasserie des Légendes
817;Herkenrode Bruin;abdijbier,bruin;7%;Brouwerij Sint-Jozef
818;Herkenrode Tripel;abdijbier,tripel;7%;Brouwerij Sint-Jozef
819;Heroes Amazing Blond;sterkblond;8,5%;Coin Cassé bij Brouwerij Gulden Spoor
820;Hertalse Poorter;hogegisting,blond;6,5%;Brouwerij Slaghmuylder
821;Hertenheer;hogegisting,amber;6,5%;Scheldebrouwerij
822;Hervoise;hogegisting;8,2%;Brasserie Grain d'Orge
823;Hik Blond;hogegisting,ale;6,5%;Brouwerij Het Alternatief
824;Hik Bruin;hogegisting;6,5%;Brouwerij Het Alternatief bij Brouwerij De Graal
825;Himelein;hogegisting;6%;Brouwerij Vissenaken
826;Hoegaarden;hogegisting,witbier;4,9%;Brouwerij De Kluis
827;Hoegaarden 0,0;alcoholvrijwitbier;0%;Brouwerij De Kluis
828;Hoegaarden 0,0 Rosée;alcoholvrijfruitbier;0%;Brouwerij De Kluis
829;Hoegaarden Citron;fruitbier;3%;Brouwerij De Kluis (InBev)
830;Hoegaarden Grand Cru;hogegisting;8,5%;Brouwerij De Kluis (InBev)
831;Hoegaarden Rosée;fruitbier;3%;Brouwerij De Kluis (InBev)
832;Hoegaarden Spéciale;hogegisting,goudblond;5,7%;Brouwerij De Kluis (InBev)
833;Hoegaarden Verboden Vrucht;fruitbier;8,8%;Brouwerij De Kluis (InBev)
834;Hof Korvatunturi;hogegisting,bruin;11%;'t Hofbrouwerijke
835;Hof ten Dormaal Amber;hogegisting;7,5%;Brouwerij Hof ten Dormaal
836;Hof ten Dormaal Blond;hogegisting;8%;Brouwerij Hof ten Dormaal
837;Hof ten Dormaal Donker;hogegisting;8,5%;Brouwerij Hof ten Dormaal
838;Hof ten Dormaal Winter 10;hogegisting;8%;Brouwerij Hof ten Dormaal
839;Hofblues;stout;5,5%;'t Hofbrouwerijke
840;Hofdraak;bruin;6,5%;'t Hofbrouwerijke
841;Hofelf;tarwetripel;7,5%;'t Hofbrouwerijke
842;Hofnar;amber;9%;'t Hofbrouwerijke
843;Hofpint;hogegisting,pils;5,5%;'t Hofbrouwerijke
844;Hoftrol;amber;6,2%;'t Hofbrouwerijke
845;Holger;pils;5%;Brouwerij Martens
846;Holsbeek Lentetripel;tripel;8,5%;Brouwerij De Vlier
847;Hommelbier;goudkleurig,hogegisting;7,5%;Brouwerij Van Eecke
848;Hop Harvest;sterkdonker;8%;Brouwerij De Ranke
849;Hopkikker;;7%;Brouwerij Boelens
850;Hop Ruiter;tripel;8%;Scheldebrouwerij
851;Hopjutters Triple Hop;indiapaleale;7,3%;Brouwerij De Graal
852;Hop-La;tripel;?%;Brouwerij Vermylen
853;Hoppa Hontas;indiapaleale;6,5%;Brouwerij Maenhout
854;Hoppe;pils;5%;Brouwerij Van Steenberge
855;Hoppesnoet;belgianale;8,5%;Huisbrouwerij Den Tseut
856;Hopus;hogegisting,goudblond;8,3%;Brouwerij Lefebvre
857;Hopverdomme;imperial/doubleipa;7,5%;De Struise Brouwers
858;Hop Verdomme IPA;ipa;7%;Brouwerij Kerkom
859;Horal's Oude Geuze Mega Blend;geuze;7%;3 Fonteinen, Brouwerij Boon, Timmermans, Oud Beersel, Lindemans, De Troch, De Cam, Hanssens
860;Horse-Ale;spécialebelge;5%;AB-InBev
861;Horst bier;lagegisting,blond;6,5%;Brouwerij Haacht
862;Hotteuse Grand Cru;donker;8%;Affligem Brouwerij
863;Houblon Chouffe;indiapaleale;9%;Brouwerij d'Achouffe
864;Hougaerdse Das;hogegisting,amber;5,1%;Brouwerij De Kluis
865;Houten Kop;speciaalbier;6,5%;Brouwerij Strubbe
866;Huardis;witbier;5,2%;Brouwerij Nieuwhuys
867;Ichtegem’s grand cru;;6,5%;Brouwerij Strubbe
868;Ichtegem's Oud Bruin;roodbruin,hogegisting;5%;Brouwerij Strubbe
869;Ignis & Flamma;ipa;7%;De Struise Brouwers
870;Inglorious Quad;quadrupel;10,3%;Brouwerij Anders! voor Inglorious Brew Stars
871;IM-JIN;amber;7,5%;Brasserie Grain d'Orge
872;Iris;spontanegisting,amber;6%;Brouwerij Cantillon
873;Irma;fruitbier;6%;voor bierfirma Vacas
874;Itters Bruin;tafelbier;1,3%;Brouwerij Sint-Jozef
875;Jack'Ouille;blond;5,5%;Brasserie de Bouillon
876;Jack-Op;;;Brouwerij Jack-Op
877;Jack-Op;gemengdegisting;5,5%;Brouwerij Boon
878;Jaded Stillwater Artisanal;belgo/americanale;10%;De Struise Brouwers
879;Jambe-de-bois;tripel;8%;Brouwerij De Ranke
880;Jan Buuc;etiketbier;7,5%;Brouwerij Het Sas
881;Jan De Lichte;witbier;7%;Brouwerij De Glazen Toren
882;Jan van Gent;blond;5,5%;Brouwerij Liefmans
883;Jan van Oudenaarde;blond;8%;Brouwerij Slaapmutske
884;Janus Triple;tripel;8%;Brouwerij De Ranke
885;Jean Nicot;tripel,tabaksbier;8,5%;Brouwerij De Graal
886;Jeanke;blonde;;Brasserie St. Jean
887;Jef;saison;6%;Brouwerij Anders! voor brouwerij De Neus
888;Jessenhofke Arvum;hogegisting,biologisch;6%;De Proefbrouwerij voor Brouwerij Jessenhofke
889;Jessenhofke Bière de Garde;hogegisting,biologisch;9%;De Proefbrouwerij voor Brouwerij Jessenhofke
890;Jessenhofke Bruin;hogegisting,biologisch;7%;De Proefbrouwerij
891;Jessenhofke Lichtblond;;3,5%;De Proefbrouwerij voor Brouwerij Jessenhofke
892;Jessenhofke Maya;hogegisting,biologisch;6%;De Proefbrouwerij voor Brouwerij Jessenhofke
893;Jessenhofke Pimpernelle;hogegisting,biologisch;8%;De Proefbrouwerij voor Brouwerij Jessenhofke
894;Jessenhofke Reserva;hogegisting,biologisch;9%;De Proefbrouwerij voor Brouwerij Jessenhofke
895;Jessenhofke Schelpje;hogegisting,biologisch;9%;De Proefbrouwerij voor Brouwerij Jessenhofke
896;Jessenhofke Tafelbier;;3,5%;De Proefbrouwerij voor Brouwerij Jessenhofke
897;Jessenhofke Tripel;hogegisting,biologisch,tripel;8%;De Proefbrouwerij voor Brouwerij Jessenhofke
898;Jezuwiet;hogegisting,tripel;8,5%;Brouwerij Boelens
899;Johannes;streekbier;6,5%;Brouwerij De Graal voor bierfirma Johannes
900;Joseph;hogegisting,blond,spelt;5,4%;Brasserie de Silenrieux
901;Joseph Bio;hogegisting,blond,spelt;5,4%;Brasserie de Silenrieux
902;Joup;hogegisting;7,5%;Brasserie Grain d'Orge
903;Julius;hogegisting,bruin;8,7%;Brouwerij De Kluis
904;Judas;hogegisting,okerblond;8,5%;Alken-Maes
905;Jules de Bananes;fruitbier,wit;4,9%;Brouwerij De Ryck
906;Jules de Kriek;fruitbier,robijnrood;4,9%;Brouwerij De Ryck
907;Jupiler;pils;5,2%;Brouwerij Piedbœuf
908;Jupiler Blue;lagegisting,pils;3,3%;Brouwerij Piedbœuf (InBev)
909;Jupiler NA;alcoholarm;0,5%;Brouwerij Piedbœuf (InBev)
910;Jupiler New Tauro;lagegisting;6,2%;Inbev
911;Jupiler Tauro;lagegisting;8,3%;Inbev
912;Kalle;tripel;8%;Brouwerij Gulden Spoor
913;Kamielke - Zomergems Blond;blond;7,3%;Brouwerij De Feniks
914;Kamielke - Hopkamiel 2017;blond;8%;Brouwerij De Feniks
915;Kameleon Amber;biologisch;6,5%;Brouwerij Den Hopperd
916;Kameleon Donker;biologisch;6%;Brouwerij Den Hopperd
917;Kameleon Ginseng;biologisch;6,5%;Brouwerij Den Hopperd
918;Kameleon Tripel;biologisch;8,5%;Brouwerij Den Hopperd
919;Kamil;hogegisting;6,5%;De Proefbrouwerij
920;Kapel van Viven Blond;blond;6,8%;De Proefbrouwerij
921;Kapel van Viven Bruin;bruin;6,6%;De Proefbrouwerij voor Beerdevelopment Viven
922;Kapittel Abt;bruin;10%;Brouwerij Van Eecke
923;Kapittel Blond;blond;6,5%;Brouwerij Van Eecke
924;Kapittel Dubbel;bruin;7,5%;Brouwerij Van Eecke
925;Kapittel Pater;bruin;6%;Brouwerij Van Eecke
926;Kapittel Prior;bruin;9%;Brouwerij Van Eecke
927;Kapittel Tripel Abt;tripel;10%;Brouwerij Van Eecke
928;Karlsquell;pils;4,6%;Brouwerij Martens
929;Kastaar;blond;6%;Brouwerij De Block
930;Kasteel Blond;blond,hogegisting;7%;Brouwerij Van Honsebrouck
931;Kasteel Cuvée du Château;donker;11%;Brouwerij Van Honsebrouck
932;Kasteel Donker;donker;11%;Brouwerij Van Honsebrouck
933;Kasteel Hoppy;blond;6,5%;Brouwerij Van Honsebrouck
934;Kasteel Rouge;kriek;8%;Brouwerij Van Honsebrouck
935;Kasteel Tripel;tripel;11%;Brouwerij Van Honsebrouck
936;Kasteelbier Blond;blond;11%;Brouwerij Van Honsebrouck
937;Kasteelbier Bruin;bruin;11%;Brouwerij Van Honsebrouck
938;Kasteelbier Ooidonk;etiketbier;11%;Brouwerij Van Honsebrouck
939;Kastel;amber;7%;De Proefbrouwerij
940;Kastels pompoenbier;tarwebier,metpompoen;6%;De Proefbrouwerij in opdracht van De Kastelse Biervereniging
941;Katje Special;hogegisting,ale;6%;Brouwerij Het Sas
942;Kd (kadee) blond;hogegisting,blond;6,2%;Brouwerij Dilewyns
943;Kd (kadee) bruin;hogegisting,ale;7%;Brouwerij Dilewyns voor brouwerij Kadee
944;Kd (kadee) tripel;hogegisting,tripel;8%;Brouwerij Dilewyns voor brouwerij Kadee
945;Keikop Saison;saison;6,5%;Brouwerij De Graal
946;Keikop Tripel;tripel;8,7%;Brouwerij De Graal voor Brouwerij De Kassei
947;Keikop Weizen;amber;6%;Brouwerij De Graal voor Brouwerij De Kassei
948;Keikoppenbier;blond,biologisch;6,1%;Brouwerij De Plukker
949;Keizer Karel;bruin;9%;Brouwerij Haacht
950;Keizer Karel Robijn Rood;robijnrood;8,5%;Brouwerij Haacht
951;Keizer Karel Goud Blond;blond;8,5%;Brouwerij Haacht
952;Keizersberg;abdijbier;9%;Brouwerij Van Steenberge
953;Kempisch Vuur 3-Dubbel;bruin;7,5%;De Proefbrouwerij
954;Kempisch Vuur Haverstout;donkerestout;6,5%;De Proefbrouwerij in opdracht van Brouwerij Pirlot
955;Kempisch Vuur Hoppergod;blond;6%;De Proefbrouwerij in opdracht van Brouwerij Pirlot
956;Kempisch Vuur Jeneverbes;blond;6,5%;De Proefbrouwerij in opdracht van Brouwerij Pirlot
957;Kempisch Vuur Tripel;tripel;7,5%;De Proefbrouwerij in opdracht van Brouwerij Pirlot (vroeger
958;Kerasus;donkerrood;5,5%;Brouwerij Alvinne
959;Kerelsbier Donker;etiketbier;6,4%;Brouwerij Het Sas
960;Kerelsbier Licht;etiketbier;6,4%;Brouwerij Het Sas
961;Kerkomse Tripel;tripel;9%;Brouwerij Kerkom
962;Kerstpater;hogegisting,kerstbier;9%;Brouwerij Van Den Bossche
963;Kerstbie;donker,kerstbier;8%;Brouwerij De Bie
964;KerstSmiske;donker,kerstbier;11%;Brouwerij Smisje
965;Kerstvuur;kerstbier;8%;De Proefbrouwerij
966;Kessel 69;hogegisting;6,9%;Brouwerij De Vlier
967;Kessel Blond;hogegisting;7,5%;Brouwerij De Vlier
968;Keyte;blond,hogegisting;7,5%;Brouwerij Strubbe
969;Keyte-Dobbel-Tripel;robijnrood,hogegisting;9,2%;Brouwerij Strubbe
970;Klets blond;bovengisting;8%;Brouwerij Bier & Karakter bij
